Exchange, URL, REPO, Whitepaper, DEX GRADE, Status, Protocol, Reference
Republic Protocol, https://republicprotocol.com/, , , , (operating), republic protocol, 2
RigoBlock, https://rigoblock.com/, , , , (operating with issues), rigoblock protocol, 
Ripple, https://ripple.com/, , , , (operating), ripple protocol, 2
Rippex, https://rippex.net/carteira-ripple.php, , , , (will be shutdown), ripple protocol, 7
RuDEX, https://rudex.org/, , , , (operating - beta), bitshares protocol (Graphene), 
SAFEX, , https://github.com/dallyshalla/safex-while/, , , (released), safex protocol, 2
SDEX, https://www.stellar.org/blog/2018-Stellar-Roadmap/, , , , (developing), stellar consensus protocol, 
Settle, https://settle.network/, https://github.com/spolu/settle/, , , (developing), settle protocol, 2
SingularX, https://ex.singularx.com/, , , , (operating), TBC, 
Smart-Exchange, , , https://debris.gitbooks.io/ethchange/content/, , (developing - whitepaper), icap protocol, 
Stellar Term, https://stellarterm.com/), , , , (operating), stellar consensus protocol, 
Streamity, https://streamity.org/), , , , (developing), TBC, 3
Swap Protocol, https://swap.tech/faq/, , , , (operating), swap protocol, 2
The 0cean, https://the0cean.com/, , , , (private beta), 0x protocol, 
The World Exchange, https://www.theworldexchange.net/, https://github.com/pftq/TheWorldExchange/, , , (operating), ripple protocol, 
Tokens, https://www.tokens.net/, , , , (developing), dynamic trading rights protocol, 
Token Store, https://token.store/, , , , (operating), TBC, 
Trade.io, https://trade.io/, , , , (developing), raiden protocol, 
UbiTok.io, https://ubitok.io/, , , , (operating), on-chain protocol, 
VariabL, https://variabl.io/, , , , (open alpha), VariabL protocol, 5
WandX, https://exchange.wandx.co/, , , , (operating), wandx protocol, 
Waves, https://waveswallet.io/, , , , (operating), waves protocol (Matcher), 
Wyvern, https://exchange.projectwyvern.com/, https://github.com/ProjectWyvern/wyvern-ethereum, https://github.com/ProjectWyvern/wyvern-protocol/raw/master/build/whitepaper.pdf, , (operating - alpha), wyvern protocol, 
xChainge, https://xchain.io/, , , , (operating), counterparty protocol, 
YouDEX, http://youdex.io/, https://github.com/YouDex/dex, http://youdex.io/white-paper/, , (developing), limex protocol, 
Zero Exchange, http://www.zero.exchange/, , , , (operating with issues), 0x protocol, 
Zip Exchange, https://zip.exchange/, , , , (developing), 0x protocol,
